Stop ID,Link ID,X,Y
59607578,-28763400,737507.3600000001,5696798.85
251562810,-99408193#0,728697.0,5689146.18
9546963698,-1036237821,734047.87,5700386.71
144016064,14609822,738402.77,5695105.33
309247859,25959561,730949.51,5697779.529999999
1820624378,196708047#0,732990.1100000001,5696870.51
cluster_283699241_3093019160,26003614#2,734592.96,5700167.7299999995
289404861,-219386233#0,739954.26,5690236.68
192298958,330206455#0,740792.8,5694899.609999999
19814212,-1033553019,736379.14,5687631.97
29352009,4621852#0,730211.8300000001,5694245.97
2070030499,638619730,733867.37,5696941.04
250566516,312317705#0,728537.88,5689939.06
250566518,29353429,728631.8300000001,5689693.75
cluster_26060463_9484776378,-14979016,735772.88,5693210.18
25965768,-4297481#0,732334.02,5693060.05
1197261780,-211244650#1,736362.3400000001,5699686.9799999995
251565024,24061046#3,727294.89,5688411.67
1197261787,-379647185,735922.28,5700146.25
221737244,11648537#1,734693.46,5695793.06
25965762,3700779,733861.9,5693221.64
279140594,24219384#1,730318.98,5686100.3
2628972016,436632600,736375.93,5701998.0
382102619,796595011,742705.5700000001,5693235.56
3775819693,-24633210#0,733903.12,5691482.3
2332110895,4291688,732219.06,5692480.97
294918855,26856077#0,728182.98,5697694.1899999995
309439683,-28172383,742136.56,5686511.96
2617755362,256078774,727626.6000000001,5693395.649999999
194363562,-830933437,737638.23,5686937.71
194363563,302592055,737592.5800000001,5686851.85
25965756,-642985821,733798.47,5693306.46
295022038,26924381#0,741825.3500000001,5686622.34
cluster_2575613889_314753270,-251321503,742827.18,5685756.8
25965755,-125190522,733634.6000000001,5693479.47
933859335,-12214696#0,735062.04,5691981.88
25965754,127430379#2,733812.43,5693550.29
8607030010,927741645#1,737357.56,5694944.3
25965757,127430379#4,733894.87,5693345.01
25965752,-4297500#0,733354.62,5693846.74
25965751,-1030859772,733472.3600000001,5693893.02
cluster_26350003_26350004_59688927,-22717718#1,727301.94,5694404.93
3775819685,-1054999879,734392.68,5691540.49
1314278512,-116619936#0,736704.49,5690958.39
309439690,-387621602#0,742082.5,5686326.0
cluster_30216189_4030747413,120359820,734861.39,5695332.109999999
192297607,1049659473,741064.88,5694954.109999999
25965744,26054781,733085.72,5694085.33
2620032862,-194059874,735890.0800000001,5694480.55
25965749,-1030859774,733432.97,5693992.0
25965748,612406892#1,733315.45,5693944.9399999995
1827685812,-171779640,739984.0,5691832.29
25965747,26054781,733085.72,5694085.33
25965746,-85146109,733136.8500000001,5694010.76
382102637,33516249,742363.9,5693447.59
2938209051,24016693#1,736556.5700000001,5689730.35
382102639,-33516250#0,742421.4,5693403.1899999995
93775755,-10638685#0,729258.8400000001,5697747.02
144456216,-19080095#0,736721.48,5692449.949999999
144456213,-19081256,737145.75,5692340.46
250886833,152931964,735697.65,5694941.72
29352039,4621852#1,730337.95,5694389.13
144456214,19081185,736980.3200000001,5692382.43
29352038,4621853#0,730368.74,5694300.38
31617035,13862621,735824.99,5700410.4799999995
29352037,791909771,730612.94,5694033.58
59054150,637436158,732944.38,5696867.9399999995
29352036,4621854#1,730540.2,5694244.88
29352035,-187555575#0,730479.0900000001,5693985.52
59054152,25385870#0,733024.5800000001,5696733.24
29352034,4621864#2,730404.54,5694197.58
59054151,7936751#0,732943.9,5696741.89
683127570,-125266522#0,728586.91,5689962.68
1080509348,25142192,729141.16,5700630.859999999
242614759,22617148,739819.79,5687642.37
294918831,-18881579#1,727804.38,5698075.91
